"createdOn","cwltool_version","date_accessed","docker_version","entityId","env_cpus","env_disk","env_memory","environment","institution","modifiedOn","file_name","objectId","platform","reportEntityId","reportStatus","runner","runner_version","scopeId","status","submitterAlias","submitterId","team","teamId","user","userId","versionNumber","workflow","workflow_type","workflow_contributor","input_handle","suggested_cpus","suggested_disk","suggested_ram"
"1500478406302",,,"17.06.0-ce, build 02c1d87","syn10146154","32","elastic","244Gb","EC2","Sage Bionetworks","1516687132092","grading-summary-NA12878-chr20.csv","9622674","cwltool","syn10208551","VALIDATED","cwltool","1.0.20170217172322","9605240","VALIDATED","SageWorkflowRunners","3357698","SageWorkflowRunners","3357698","James Eddy","2223305","3","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1500500618610",,,"1.12.1, build 23cf638","syn10209942","31","1Tb","252Gb","UCSC podcloud VM","UCSC","1516687134002","grading-summary-NA12878-chr20.csv","9622778","cwltool","syn10210043","VALIDATED","cwltool","1.0.20170704143016","9605240","VALIDATED",,"3322142","Jeltje van Baren",,"Jeltje van Baren","3322142","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1500540722990",,,"1.12.6","syn10211806","32","700Gb","60Gb","EC2","Seven Bridges Genomics","1516687135828","grading-summary-NA12878-chr20.csv","9622790","rabix","syn10211808","VALIDATED","rabix","1.0.0","9605240","VALIDATED","SBG","3359497","SBG","3359497","Bogdan Gavrilovic","3357304","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1500540728335",,,"1.12.6","syn10211806","32","700Gb","60Gb","EC2","Seven Bridges Genomics","1516687137690","grading-summary-NA12878-chr20.csv","9622791","SevenBridges","syn10211809","VALIDATED",,"latest","9605240","VALIDATED","SBG","3359497","SBG","3359497","Bogdan Gavrilovic","3357304","2","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1500652633053",,,"17.06.0-ce, build 02c1d87","syn10219948","8","elastic","16Gb","EC2","UCSC","1516687139533","grading-summary-NA12878-chr20.csv","9623071","cwltool","syn10219950","VALIDATED","cwltool","1.0.20170217172322","9605240","VALIDATED","UCSC GA4GH-DREAM Challenge Team","3359354","UCSC GA4GH-DREAM Challenge Team","3359354","DailyDreaming","3359517","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1501002072068",,,"...","syn10227529","32","200Gb","240Gb","EC2","UCSC","1516687141561","grading-summary-NA12878-chr20.csv","9623664","cwltool","syn10227558","VALIDATED","cwltool","1.0.20170413194156","9605240","VALIDATED","UCSC GA4GH-DREAM Challenge Team","3359354","UCSC GA4GH-DREAM Challenge Team","3359354","Abraham Chavez","3359518","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1503495912038",,"2017-08-22","17.06.0-ce, build 02c1d87","syn10395569","4","470Gb","32Gb","local","Ontario Institute for Cancer Research","1516687143474","grading-summary-NA12878-chr20.csv","9629638","dockstore","syn10395761","VALIDATED","dockstore","1.2.7","9605240","VALIDATED","Dockstore Team","3357666","Dockstore Team","3357666","Gary Luu","3351463","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1504991173171",,"2017-09-09","17.06.1-ce, build 874a737","syn10675259","8","200Gb","32Gb","EC2","UCSC","1516687145385","grading-summary-NA12878-chr20.csv","9633509","Toil","syn10675308","VALIDATED","Toil","3.11.0a1","9605240","VALIDATED","UCSC GA4GH-DREAM Challenge Team","3359354","UCSC GA4GH-DREAM Challenge Team","3359354","DailyDreaming","3359517","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1505019724491",,"2017-09-05","17.06.0-ce, build 02c1d87","syn10676416","48","368Tb","512Gb","local","Children's Mercy Kansas City","1516687147480","grading-summary-NA12878-chr20.csv","9633527","cwltool","syn10676462","VALIDATED","cwltool","1.0.20170817131858","9605240","VALIDATED","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Byunggil Yoo","3340080","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1505486038609",,"2017-09-15","17.06.0-ce, build 02c1d87","syn10676416","48","368Tb","512Gb","local","Children's Mercy Kansas City","1516687149319","grading-summary-NA12878-chr20.csv","9635417","cwltool","syn10807009","VALIDATED","cwltool","1.0.20170817131858","9605240","VALIDATED","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Jeff Johnston","3360391","2","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1506005013753",,"2017-08-22","17.06.0-ce, build 02c1d87","syn10395569","4","470Gb","32Gb","local","Ontario Institute for Cancer Research","1516687151104","grading-summary-NA12878-chr20.csv","9636600","dockstore","syn10876714","VALIDATED","dockstore","1.2.10","9605240","VALIDATED","Dockstore Team","3357666","Dockstore Team","3357666","Denis Yuen","3334989","2","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1506065699316",,"2017-09-20","1.12.6","syn10888457","8","140Gb","32Gb","local","ETH Zxfcrich, NEXUS Personalized Health Technologies","1516687152816","grading-summary-NA12878-chr20.csv","9636914","cwltool","syn10888556","VALIDATED","cwltool","1.0.20170828135420","9605240","VALIDATED",,"3360642","ETH Zurich NEXUS Workflow Handler",,"Vipin T Sreedharan","3360642","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1506579298356",,"2017-09-26","1.12.6, build c4618fb","syn10918752","8","140Gb","32Gb","local","ETH Zxfcrich, NEXUS Personalized Health Technologies","1516687154940","grading-summary-NA12878-chr20.csv","9638042","Toil","syn10918834","VALIDATED","cwltoil","3.11.0","9605240","VALIDATED",,"3360642","ETH Zurich NEXUS Workflow Handler",,"Vipin T Sreedharan","3360642","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1506681073392",,"2017-09-28","1.12.6, build c4618fb","syn10929829","8","140Gb","32Gb","local","ETH Zxfcrich, NEXUS Personalized Health Technologies","1516687156872","grading-summary-NA12878-chr20.csv","9638363","rabix","syn10930091","VALIDATED","rabix","1.0.0","9605240","VALIDATED",,"3360642","ETH Zurich NEXUS Workflow Handler",,"Vipin T Sreedharan","3360642","2","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1506979517492",,"2017-09-29T16:36:57+00:00","17.06.2-ce","syn10968481","4","200Gb","16Gb","Google Compute Engine","UCSC","1516687158886","grading-summary-NA12878-chr20.csv","9639346","cwltool","syn10968802","VALIDATED","cwltool","1.0.20170413194156","9605240","VALIDATED","UCSC GA4GH-DREAM Challenge Team","3359354","UCSC GA4GH-DREAM Challenge Team","3359354","Abraham Chavez","3359518","2","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1508443685978",,"11/1/2017","17.09.0-ce, build afdb6d4","syn11267200","8","100Gb","30Gb","Google Compute Engine","Institute for Systems Biology","1516687160726","grading-summary-NA12878-chr20.csv","9646113","cwltool","syn11267420","VALIDATED","cwltool","1.0.20170217172322","9605240","VALIDATED","ISB-CGC","3362714","ISB-CGC","3362714","Joe Slagel","3348267","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1508764319266",,"2017-10-27","17.06.2-ce, build cec0b72","syn11286385","8","250Gb","35Mb","Google Compute Engine","Institute for Systems Biology","1516687162529","grading-summary-NA12878-chr20.csv","9646941","cwltool","syn11286406","VALIDATED","cwltool","1.0.20170217172322","9605240","VALIDATED","ISB-CGC","3362714","ISB-CGC","3362714","Todd Pihl","3360543","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1509666610384",,"2017-11-02","17.09.0-ce, build afdb6d4","syn11382097","4","200Gb","30.5Gb","EC2","UCSC","1516687164294","grading-summary-NA12878-chr20.csv","9650685","Toil","syn11382141","VALIDATED","Toil","1.0.20170822192924","9605240","VALIDATED",,"3363440","UCSC GA4GH-DREAM Challenge Team",,"Michael Krause","3363440","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1510772282634",,"2017-11-15","17.09.0-ce, build afdb6d4","syn11445604","8","80Gb","54Gb","Google Compute Engine","xD Bio","1516687166004","grading-summary-NA12878-chr20.csv","9653358","cwltool","syn11445649","VALIDATED","cwltool","1.0.20171107133715","9605240","VALIDATED",,"3340132","spinradical",,"spinradical","3340132","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1511329090406",,"2017-11-21","17.03.1-ce, build c6d412e","syn11495765","8","100Gb","32Gb","EGI FedCloud","University of Khartoum","1516687167787","grading-summary-NA12878-chr20.csv","9654881","cwltool","syn11495801","VALIDATED","cwltool","1.0.20170217172322","9605240","VALIDATED","CBSB_pipelines","3362440","CBSB_pipelines","3362440","Azza Ahmed","3333939","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1512178263053",,"2017-11-30","17.11.0","syn11541539","8","200Gb","30Gb","Google Compute Engine","Institute for Systems Biology","1516687170222","grading-summary-NA12878-chr20.csv","9655741","ISB-CGC/dsub+cwltool","syn11541556","VALIDATED","cwltool","1.0.20171107133715","9605240","VALIDATED","ISB-CGC","3362714","ISB-CGC","3362714","Joe Slagel","3348267","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1513980729170",,"2017-12-18","dx-docker","syn11635636","autoscale","autoscale","autoscale","DNAnexus","DNAnexus Inc.","1516687171988","grading-summary-NA12878-chr20.csv","9657797","DNAnexus-CWL","syn11635647","VALIDATED",,"alpha","9605240","VALIDATED","DNAnexus","3366717","DNAnexus","3366717","Nihar Sheth","3366692","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
